from,to
45,16
45,21
40,45
49,45
45,54
65,45
68,45
91,45
46,54
46,65
46,114
47,4
47,21
47,29
47,31
47,35
47,43
47,63
79,47
47,97
47,115
47,123
48,1
2,48
48,3
48,4
48,14
48,16
48,19
48,21
48,29
48,31
48,35
48,48
48,53
48,57
48,59
48,60
48,61
48,63
48,64
48,66
48,67
48,68
48,71
48,72
48,73
48,77
48,81
83,48
48,85
48,88
48,89
48,90
48,97
48,100
48,107
48,109
48,115
48,118
48,125
48,130
1,49
49,5
49,16
49,17
49,20
49,43
49,48
49,53
49,59
49,63
49,64
49,66
49,68
49,71
49,72
49,75
49,82
49,104
49,109
49,115
49,117
49,123
49,125
49,126
49,127
127,49
49,129
129,49
49,130
50,3
50,9
50,16
50,17
50,20
50,21
50,53
50,54
50,57
50,59
50,60
50,64
50,66
50,68
50,71
78,50
79,50
50,82
50,104
50,109
50,115
50,117
50,123
50,125
50,126
51,3
51,32
41,51
51,59
51,105
51,109
51,114
51,126
52,1
52,21
52,65
52,109
52,114
53,42
53,68
53,91
53,109
54,16
54,21
54,58
54,68
54,109
54,115
54,123
55,1
1,55
55,3
55,4
4,55
55,13
55,16
55,17
55,21
55,29
55,31
31,55
55,32
55,35
55,37
55,43
55,53
55,54
55,57
55,59
55,60
55,61
62,55
55,63
55,64
55,65
55,66
55,68
55,71
55,72
55,73
55,77
78,55
79,55
55,81
55,82
82,55
55,86
55,88
55,89
55,91
55,92
55,100
55,104
55,106
55,109
109,55
55,115
55,123
55,124
124,55
55,125
55,126
126,55
55,128
56,4
56,16
56,21
23,56
56,48
56,57
56,64
56,68
68,56
56,109
57,15
57,37
57,71
57,97
58,13
58,14
58,15
58,16
58,23
58,66
58,67
58,71
58,82
58,97
102,58
103,58
58,115
68,59
89,59
90,59
59,115
59,123
59,124
59,125
1,60
2,60
3,60
60,4
4,60
5,60
6,60
7,60
8,60
9,60
10,60
11,60
12,60
60,13
13,60
60,14
14,60
15,60
16,60
60,17
17,60
18,60
19,60
20,60
60,21
21,60
22,60
23,60
24,60
25,60
60,26
26,60
27,60
28,60
29,60
30,60
31,60
34,60
35,60
36,60
37,60
38,60
40,60
60,43
43,60
48,60
49,60
50,60
52,60
53,60
60,57
57,60
58,60
60,59
59,60
60,60
60,61
63,60
64,60
70,60
72,60
73,60
76,60
77,60
78,60
79,60
80,60
81,60
82,60
83,60
85,60
86,60
89,60
91,60
92,60
93,60
94,60
95,60
97,60
98,60
100,60
102,60
103,60
104,60
105,60
106,60
107,60
108,60
109,60
110,60
112,60
114,60
60,115
115,60
118,60
119,60
120,60
121,60
124,60
125,60
126,60
130,60
61,2
61,15
61,16
61,23
28,61
61,29
61,32
61,33
61,35
61,43
43,61
61,53
61,54
61,57
61,58
61,59
59,61
61,60
61,63
61,65
61,66
61,67
61,68
61,70
70,61
61,71
78,61
79,61
82,61
61,91
61,97
61,100
61,104
61,106
61,109
61,115
61,122
61,124
124,61
61,125
61,126
1,62
62,4
62,15
62,16
62,20
62,21
21,62
62,22
28,62
62,29
31,62
62,35
62,43
43,62
62,57
62,58
62,59
62,67
62,68
62,70
62,71
62,80
62,82
62,97
62,102
102,62
62,103
103,62
62,104
62,105
62,109
62,122
62,124
62,125
63,2
63,3
63,4
63,8
63,13
63,14
63,15
63,16
63,17
63,21
63,23
63,31
37,63
63,38
63,43
63,51
63,53
63,57
63,58
63,59
63,61
63,63
63,68
63,72
63,73
63,76
63,81
63,82
86,63
63,90
63,93
63,99
63,100
63,102
63,105
63,109
63,112
63,115
63,118
63,123
63,124
63,125
63,129
1,64
4,64
5,64
6,64
7,64
8,64
9,64
10,64
11,64
12,64
64,13
13,64
14,64
16,64
64,17
17,64
19,64
20,64
21,64
22,64
23,64
24,64
26,64
27,64
28,64
31,64
34,64
64,35
35,64
64,37
37,64
38,64
40,64
48,64
50,64
56,64
64,57
64,59
59,64
64,60
60,64
64,61
61,64
63,64
64,64
64,66
66,64
68,64
64,71
72,64
73,64
76,64
77,64
80,64
81,64
85,64
86,64
91,64
92,64
93,64
107,64
64,109
110,64
114,64
64,115
115,64
64,117
118,64
119,64
120,64
64,125
130,64
65,1
65,13
65,14
65,16
65,21
65,32
32,65
35,65
43,65
65,46
51,65
54,65
65,57
65,60
65,63
65,84
110,65
66,1
66,2
66,4
66,31
66,43
66,79
97,66
66,123
123,66
67,13
67,14
67,16
30,67
67,43
67,44
67,57
67,59
67,60
67,75
79,67
67,115
67,125
129,67
68,13
68,14
68,16
68,35
68,59
68,60
68,68
68,115
68,125
69,13
69,14
69,15
69,16
69,35
69,57
69,59
69,60
69,70
69,115
69,125
70,4
4,70
70,13
70,16
70,17
70,31
70,35
70,37
70,43
51,70
52,70
70,53
70,57
70,58
60,70
70,64
70,66
70,67
70,68
70,71
70,92
70,115
70,123
70,125
1,71
4,71
71,38
72,38
2,73
3,73
4,73
6,73
7,73
9,73
10,73
11,73
12,73
73,14
73,16
16,73
18,73
19,73
20,73
21,73
23,73
31,73
34,73
37,73
49,73
50,73
73,53
53,73
59,73
63,73
65,73
73,67
68,73
73,73
76,73
77,73
80,73
83,73
86,73
91,73
94,73
95,73
97,73
100,73
102,73
103,73
104,73
105,73
109,73
112,73
114,73
73,115
115,73
116,73
118,73
120,73
124,73
73,125
74,13
75,1
1,75
75,4
4,75
75,13
75,14
16,75
75,17
75,19
20,75
21,75
28,75
75,31
34,75
75,35
75,37
75,48
48,75
51,75
52,75
75,53
75,57
57,75
75,61
75,64
75,66
75,68
70,75
75,71
72,75
75,73
73,75
76,75
75,77
75,81
75,82
75,86
75,88
75,89
75,109
110,75
75,115
75,117
118,75
120,75
75,123
75,125
130,75
1,76
76,3
4,76
7,76
9,76
10,76
12,76
13,76
21,76
23,76
31,76
34,76
35,76
36,76
76,37
42,76
43,76
50,76
76,53
76,54
76,55
63,76
65,76
76,66
76,67
76,68
68,76
73,76
77,76
78,76
79,76
80,76
76,81
76,82
89,76
90,76
76,92
92,76
76,96
97,76
76,100
102,76
103,76
106,76
107,76
76,109
110,76
114,76
76,115
118,76
120,76
76,123
76,126
130,76
77,37
77,60
78,1
78,4
78,13
13,78
78,14
78,17
78,23
78,31
78,35
78,48
78,53
78,61
63,78
78,64
78,66
78,68
68,78
78,71
78,73
76,78
78,77
77,78
92,78
100,78
107,78
109,78
78,115
78,117
120,78
121,78
78,123
78,125
130,78
1,79
79,16
16,79
19,79
28,79
31,79
79,35
79,37
38,79
79,53
63,79
64,79
79,66
79,67
79,68
79,71
83,79
79,89
106,79
108,79
79,109
109,79
114,79
79,115
118,79
125,79
1,80
2,80
3,80
4,80
5,80
6,80
7,80
8,80
9,80
10,80
11,80
12,80
13,80
16,80
17,80
18,80
19,80
20,80
21,80
23,80
25,80
26,80
28,80
30,80
31,80
34,80
35,80
36,80
37,80
38,80
44,80
48,80
50,80
51,80
52,80
53,80
56,80
58,80
59,80
60,80
62,80
63,80
64,80
68,80
80,72
72,80
73,80
76,80
77,80
78,80
80,80
81,80
82,80
83,80
85,80
86,80
89,80
91,80
92,80
94,80
95,80
97,80
98,80
100,80
102,80
103,80
104,80
105,80
106,80
108,80
80,109
109,80
110,80
112,80
114,80
80,115
115,80
118,80
119,80
120,80
121,80
124,80
80,125
125,80
128,80
130,80
7,81
81,8
81,9
81,21
81,29
81,115
129,81
